ActiveIngredient_list,ingredient_token_order,fda_ingredient_token_raw,fda_token_norm,fda_token_root_norm,dea_scheduled_substance_names,dea_scheduled_candidate_names,dea_scheduled_current_schedules,dea_scheduled_drug_codes,dea_list_i_substance_names,dea_list_i_candidate_names,dea_list_i_drug_codes,dea_source_name_count,dea_scheduled_candidate_count,dea_list_i_candidate_count,dea_candidate_type_summary,dea_stage_label,dea_confident_match_flag,dea_list_i_only_flag,dea_match_method,dea_possible_candidate_substance_names,dea_possible_candidate_names,dea_possible_candidate_schedules,dea_possible_candidate_drug_codes,dea_possible_candidate_count,dea_possible_match_method
ACETAMINOPHEN; PENTAZOCINE HYDROCHLORIDE,2,PENTAZOCINE HYDROCHLORIDE,PENTAZOCINE HYDROCHLORIDE,PENTAZOCINE,Pentazocine Hydrochloride,PENTAZOCINE HYDROCHLORIDE,IV,9709,,,,1.0,1.0,0.0,core_name,exact,True,False,exact,,,,,,
ACETAMINOPHEN; PROPOXYPHENE HYDROCHLORIDE,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; PROPOXYPHENE HYDROCHLORIDE,2,PROPOXYPHENE HYDROCHLORIDE,PROPOXYPHENE HYDROCHLORIDE,PROPOXYPHENE,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE,2,PROPOXYPHENE NAPSYLATE,PROPOXYPHENE NAPSYLATE,PROPOXYPHENE,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,2,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,TRAMADOL,Tramadol Hydrochloride,TRAMADOL HYDROCHLORIDE,IV,9752,,,,1.0,1.0,0.0,core_name,exact,True,False,exact,,,,,,
ACETAZOLAMIDE,1,ACETAZOLAMIDE,ACETAZOLAMIDE,ACETAZOLAMIDE,,,,,,,,,,,,,,,,,,,,,
ACETAZOLAMIDE SODIUM,1,ACETAZOLAMIDE SODIUM,ACETAZOLAMIDE SODIUM,ACETAZOLAMIDE,,,,,,,,,,,,,,,,,,,,,
"ACETIC ACID, GLACIAL",1,"ACETIC ACID, GLACIAL",ACETIC ACID GLACIAL,ACETIC ACID GLACIAL,,,,,,,,,,,,,,,,,,,,,
"ACETIC ACID, GLACIAL; ALUMINUM ACETATE",1,"ACETIC ACID, GLACIAL",ACETIC ACID GLACIAL,ACETIC ACID GLACIAL,,,,,,,,,,,,,,,,,,,,,
"ACETIC ACID, GLACIAL; ALUMINUM ACETATE",2,ALUMINUM ACETATE,ALUMINUM ACETATE,ALUMINUM,,,,,,,,,,,,,,,,,,,,,
"ACETIC ACID, GLACIAL; DESONIDE",1,"ACETIC ACID, GLACIAL",ACETIC ACID GLACIAL,ACETIC ACID GLACIAL,,,,,,,,,,,,,,,,,,,,,
"ACETIC ACID, GLACIAL; DESONIDE",2,DESONIDE,DESONIDE,DESONIDE,,,,,,,,,,,,,,,,,,,,,
"ACETIC ACID, GLACIAL; HYDROCORTISONE",1,"ACETIC ACID, GLACIAL",ACETIC ACID GLACIAL,ACETIC ACID GLACIAL,,,,,,,,,,,,,,,,,,,,,
"ACETIC ACID, GLACIAL; HYDROCORTISONE",2,HYDROCORTISONE,HYDROCORTISONE,HYDROCORTISONE,,,,,,,,,,,,,,,,,,,,,
"ACETIC ACID, GLACIAL; HYDROCORTISONE; NEOMYCIN SULFATE",1,"ACETIC ACID, GLACIAL",ACETIC ACID GLACIAL,ACETIC ACID GLACIAL,,,,,,,,,,,,,,,,,,,,,
"ACETIC ACID, GLACIAL; HYDROCORTISONE; NEOMYCIN SULFATE",2,HYDROCORTISONE,HYDROCORTISONE,HYDROCORTISONE,,,,,,,,,,,,,,,,,,,,,
"ACETIC ACID, GLACIAL; HYDROCORTISONE; NEOMYCIN SULFATE",3,NEOMYCIN SULFATE,NEOMYCIN SULFATE,NEOMYCIN,,,,,,,,,,,,,,,,,,,,,
ACETOHEXAMIDE,1,ACETOHEXAMIDE,ACETOHEXAMIDE,ACETOHEXAMIDE,,,,,,,,,,,,,,,,,,,,,
ACETOHYDROXAMIC ACID,1,ACETOHYDROXAMIC ACID,ACETOHYDROXAMIC ACID,ACETOHYDROXAMIC ACID,,,,,,,,,,,,,,,,,,,,,
ACETOPHENAZINE MALEATE,1,ACETOPHENAZINE MALEATE,ACETOPHENAZINE MALEATE,ACETOPHENAZINE,,,,,,,,,,,,,,,,,,,,,
ACETRIZOATE SODIUM,1,ACETRIZOATE SODIUM,ACETRIZOATE SODIUM,ACETRIZOATE,,,,,,,,,,,,,,,,,,,,,
ACETYLCHOLINE CHLORIDE,1,ACETYLCHOLINE CHLORIDE,ACETYLCHOLINE CHLORIDE,ACETYLCHOLINE,,,,,,,,,,,,,,,,,,,,,
ACETYLCYSTEINE,1,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,,,,,,,,,,,,,,,,,,,,,
ACETYLCYSTEINE LYSINE,1,ACETYLCYSTEINE LYSINE,ACETYLCYSTEINE LYSINE,ACETYLCYSTEINE LYSINE,,,,,,,,,,,,,,,,,,,,,
ACETYLDIGITOXIN,1,ACETYLDIGITOXIN,ACETYLDIGITOXIN,ACETYLDIGITOXIN,,,,,,,,,,,,,,,,,,,,,
