ActiveIngredient_list,dea_active_ingredient_token_count,dea_confident_controlled_match_flag,dea_list_i_only_match_flag,dea_possible_candidate_only_flag,dea_confident_matched_token_count,dea_list_i_token_count,dea_possible_candidate_token_count,dea_confident_match_methods,dea_confident_matched_fda_tokens,dea_confident_substance_names,dea_confident_current_schedules,dea_confident_drug_codes,dea_list_i_substance_names,dea_list_i_drug_codes,dea_possible_candidate_tokens,dea_possible_candidate_substance_names,dea_possible_candidate_methods,dea_unmatched_fda_tokens,dea_edge_case_notes,dea_schedule_scope_note,dea_linkage_status,dea_uncertain_flag
ACETAMINOPHEN; CLEMASTINE FUMARATE; PSEUDOEPHEDRINE HYDROCHLORIDE,3,False,True,False,0,1,0,,,,,,Pseudoephedrine Hydrochloride,8112,,,,ACETAMINOPHEN | CLEMASTINE FUMARATE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,list_i_chemical_only_match,False
ACETAMINOPHEN; CODEINE PHOSPHATE,2,True,False,False,1,0,0,exact,CODEINE PHOSPHATE,Codeine Phosphate (1 1/2 H2O) | Codeine Phosphate (1/2 H2O),II,9050,,,,,,ACETAMINOPHEN,DEA drug-code materials list preparation-specific schedule differences for codeine. Ingredient-only linkage can identify codeine-related control but not the final schedule without formulation / concentration context.,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,confident_scheduled_controlled_substance_match,True
ACETAMINOPHEN; DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE,3,False,True,False,0,1,0,,,,,,Pseudoephedrine Sulfate (Dibasic),8112,,,,ACETAMINOPHEN | DEXBROMPHENIRAMINE MALEATE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,list_i_chemical_only_match,False
ACETAMINOPHEN; HYDROCODONE BITARTRATE,2,True,False,False,1,0,0,exact,HYDROCODONE BITARTRATE,Hydrocodone Bitartrate (2 1/2 H2O),II,9193,,,,,,ACETAMINOPHEN,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,confident_scheduled_controlled_substance_match,False
ACETAMINOPHEN; IBUPROFEN,2,False,False,False,0,0,0,,,,,,,,,,,ACETAMINOPHEN | IBUPROFEN,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACETAMINOPHEN; IBUPROFEN SODIUM,2,False,False,False,0,0,0,,,,,,,,,,,ACETAMINOPHEN | IBUPROFEN SODIUM,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,2,True,False,False,1,0,0,exact,OXYCODONE HYDROCHLORIDE,Oxycodone Hydrochloride,II,9143,,,,,,ACETAMINOPHEN,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,confident_scheduled_controlled_substance_match,False
ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE,3,True,False,False,2,0,0,exact,OXYCODONE HYDROCHLORIDE | OXYCODONE TEREPHTHALATE,Oxycodone Hydrochloride | Oxycodone Terephthalate (Dibasic),II,9143,,,,,,ACETAMINOPHEN,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,confident_scheduled_controlled_substance_match,False
ACETAMINOPHEN; PENTAZOCINE HYDROCHLORIDE,2,True,False,False,1,0,0,exact,PENTAZOCINE HYDROCHLORIDE,Pentazocine Hydrochloride,IV,9709,,,,,,ACETAMINOPHEN,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,confident_scheduled_controlled_substance_match,False
ACETAMINOPHEN; PROPOXYPHENE HYDROCHLORIDE,2,False,False,False,0,0,0,,,,,,,,,,,ACETAMINOPHEN | PROPOXYPHENE HYDROCHLORIDE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
