dea_source_name_raw,dea_candidate_name_norm,dea_candidate_type,dea_root_norm,dea_current_schedule,dea_drug_code,dea_conversion_factor,dea_is_csa_scheduled,dea_is_list_i_chemical,dea_source_file,dea_source_url
1-(5-fluoropentyl)-N-(2-phenylpropan-2-yl)-1H-indazole-3-carboxamide (5F-CUMYL-PINACA; SGT-25),SGT 25,alias_fragment,SGT,I,7083,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-(5-fluoropentyl)-N-(2-phenylpropan-2-yl)-1H-pyrrolo[2,3-b]pyridine-3-carboxamide (5F-CUMYL-P7AICA)",1 N 1H PYRROLO 2 3 B PYRIDINE 3 CARBOXAMIDE,core_name,1 N 1H PYRROLO 2 3 B PYRIDINE 3 CARBOXAMIDE,I,7085,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-(5-fluoropentyl)-N-(2-phenylpropan-2-yl)-1H-pyrrolo[2,3-b]pyridine-3-carboxamide (5F-CUMYL-P7AICA)",5 FLUOROPENTYL,alias_fragment,5 FLUOROPENTYL,I,7085,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-(5-fluoropentyl)-N-(2-phenylpropan-2-yl)-1H-pyrrolo[2,3-b]pyridine-3-carboxamide (5F-CUMYL-P7AICA)",2 PHENYLPROPAN 2 YL,alias_fragment,2 PHENYLPROPAN 2 YL,I,7085,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-(5-fluoropentyl)-N-(2-phenylpropan-2-yl)-1H-pyrrolo[2,3-b]pyridine-3-carboxamide (5F-CUMYL-P7AICA)",5F CUMYL P7AICA,alias_fragment,5F CUMYL P7AICA,I,7085,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-(5-fluoropentyl)-N-(2-phenylpropan-2-yl)-1H-pyrrolo[2,3-b]pyridine-3-carboxamide (5F-CUMYL-P7AICA)",1 N 1H PYRROLO 2,alias_fragment,1 N 1H PYRROLO,I,7085,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-(5-fluoropentyl)-N-(2-phenylpropan-2-yl)-1H-pyrrolo[2,3-b]pyridine-3-carboxamide (5F-CUMYL-P7AICA)",3 B PYRIDINE 3 CARBOXAMIDE,alias_fragment,3 B PYRIDINE 3 CARBOXAMIDE,I,7085,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-[1-(2-thienyl)cyclohexyl]pyrrolidine (TCPy),1 1 CYCLOHEXYL PYRROLIDINE,core_name,1 1 CYCLOHEXYL PYRROLIDINE,I,7473,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-[1-(2-thienyl)cyclohexyl]pyrrolidine (TCPy),2 THIENYL,alias_fragment,2 THIENYL,I,7473,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-[1-(2-thienyl)cyclohexyl]pyrrolidine (TCPy),TCPY,alias_fragment,TCPY,I,7473,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-[2-(4-morpholinyl)ethyl]-3-(1-naphthoyl)indole (JWH-200),1 2 ETHYL 3 INDOLE,core_name,1 2 ETHYL 3 INDOLE,I,7200,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-[2-(4-morpholinyl)ethyl]-3-(1-naphthoyl)indole (JWH-200),4 MORPHOLINYL,alias_fragment,4 MORPHOLINYL,I,7200,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-[2-(4-morpholinyl)ethyl]-3-(1-naphthoyl)indole (JWH-200),1 NAPHTHOYL,alias_fragment,1 NAPHTHOYL,I,7200,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-[2-(4-morpholinyl)ethyl]-3-(1-naphthoyl)indole (JWH-200),JWH 200,alias_fragment,JWH,I,7200,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-butyl-3-(1-naphthoyl)indole (JWH-073),1 BUTYL 3 INDOLE,core_name,1 BUTYL 3 INDOLE,I,7173,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-butyl-3-(1-naphthoyl)indole (JWH-073),1 NAPHTHOYL,alias_fragment,1 NAPHTHOYL,I,7173,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-butyl-3-(1-naphthoyl)indole (JWH-073),JWH 073,alias_fragment,JWH,I,7173,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-cyclohexyl-4-(1,2-diphenylethyl)piperazine (MT-45)",1 CYCLOHEXYL 4 PIPERAZINE,core_name,1 CYCLOHEXYL 4 PIPERAZINE,I,9560,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-cyclohexyl-4-(1,2-diphenylethyl)piperazine (MT-45)",1 2 DIPHENYLETHYL,alias_fragment,1 2 DIPHENYLETHYL,I,9560,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-cyclohexyl-4-(1,2-diphenylethyl)piperazine (MT-45)",MT 45,alias_fragment,MT,I,9560,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-cyclohexyl-4-(1,2-diphenylethyl)piperazine (MT-45)",1 CYCLOHEXYL 4 1,alias_fragment,1 CYCLOHEXYL,I,9560,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-cyclohexyl-4-(1,2-diphenylethyl)piperazine (MT-45)",2 DIPHENYLETHYL PIPERAZINE,alias_fragment,2 DIPHENYLETHYL PIPERAZINE,I,9560,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-cyclohexyl-4-(1,2-diphenylethyl)piperazine hydrochloride (MT-45)",1 CYCLOHEXYL 4 PIPERAZINE HYDROCHLORIDE,core_name,1 CYCLOHEXYL 4 PIPERAZINE,I,9560,0.91,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-cyclohexyl-4-(1,2-diphenylethyl)piperazine hydrochloride (MT-45)",1 2 DIPHENYLETHYL,alias_fragment,1 2 DIPHENYLETHYL,I,9560,0.91,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-cyclohexyl-4-(1,2-diphenylethyl)piperazine hydrochloride (MT-45)",MT 45,alias_fragment,MT,I,9560,0.91,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-cyclohexyl-4-(1,2-diphenylethyl)piperazine hydrochloride (MT-45)",1 CYCLOHEXYL 4 1,alias_fragment,1 CYCLOHEXYL,I,9560,0.91,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-cyclohexyl-4-(1,2-diphenylethyl)piperazine hydrochloride (MT-45)",2 DIPHENYLETHYL PIPERAZINE HYDROCHLORIDE,alias_fragment,2 DIPHENYLETHYL PIPERAZINE,I,9560,0.91,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-cyclohexylethyl-3-(2-methoxyphenylacetyl)indole 7008 (SR-18 and RCS-8),1 CYCLOHEXYLETHYL 3 INDOLE 7008,core_name,1 CYCLOHEXYLETHYL 3 INDOLE,I,7008,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-cyclohexylethyl-3-(2-methoxyphenylacetyl)indole 7008 (SR-18 and RCS-8),2 METHOXYPHENYLACETYL,alias_fragment,2 METHOXYPHENYLACETYL,I,7008,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-cyclohexylethyl-3-(2-methoxyphenylacetyl)indole 7008 (SR-18 and RCS-8),SR 18 AND RCS 8,alias_fragment,SR 18 AND RCS,I,7008,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-hexyl-3-(1-naphthoyl)indole (JWH-019),1 HEXYL 3 INDOLE,core_name,1 HEXYL 3 INDOLE,I,7019,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-hexyl-3-(1-naphthoyl)indole (JWH-019),1 NAPHTHOYL,alias_fragment,1 NAPHTHOYL,I,7019,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-hexyl-3-(1-naphthoyl)indole (JWH-019),JWH 019,alias_fragment,JWH,I,7019,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-pentyl-3-(1-naphthoyl)indole (JWH-018 and AM678),1 PENTYL 3 INDOLE,core_name,1 PENTYL 3 INDOLE,I,7118,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-pentyl-3-(1-naphthoyl)indole (JWH-018 and AM678),1 NAPHTHOYL,alias_fragment,1 NAPHTHOYL,I,7118,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-pentyl-3-(1-naphthoyl)indole (JWH-018 and AM678),JWH 018 AND AM678,alias_fragment,JWH 018 AND AM678,I,7118,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-pentyl-3-(2-chlorophenylacetyl)indole (JWH-203),1 PENTYL 3 INDOLE,core_name,1 PENTYL 3 INDOLE,I,7203,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
