year,orig_confident_denominator,orig_confident_numerator,orig_confident_share,ap_confident_denominator,ap_confident_numerator,ap_confident_share,orig_nda_confident_denominator,orig_nda_confident_numerator,orig_nda_confident_share,orig_confident_plus_list_i_denominator,orig_confident_plus_list_i_numerator,orig_confident_plus_list_i_share,orig_any_signal_denominator,orig_any_signal_numerator,orig_any_signal_share,time_index_from_1960,time_index_from_1980,event_time_1992,post_1992,post_1992_trend,post_1984,post_1984_trend,post_1997,post_2002,post_2007,post_2012,post_2017,orig_confident_share_roll3,orig_nda_confident_share_roll3,orig_any_signal_share_roll3,policy_era
1995,285,12,0.042105263157894736,3777,258,0.06830818109610802,86,2,0.023255813953488372,285,12,0.042105263157894736,285,12,0.042105263157894736,35,15,3,1,3,1,11,0,0,0,0,0,0.0618414191904342,0.015104879160966714,0.07263471527981966,1993-1997 PDUFA I
1996,358,27,0.07541899441340782,4633,332,0.07165983164256422,136,3,0.022058823529411766,358,29,0.08100558659217877,358,30,0.08379888268156424,36,16,4,1,4,1,12,0,0,0,0,0,0.07374265375833543,0.028878983844162306,0.0773589951152106,1993-1997 PDUFA I
1997,405,42,0.1037037037037037,4403,366,0.08312514194867136,121,5,0.04132231404958678,405,43,0.10617283950617284,405,43,0.10617283950617284,37,17,5,1,5,1,13,1,0,0,0,0,0.09718291120669004,0.0354639634223902,0.10079925256356521,1993-1997 PDUFA I
1998,338,38,0.11242603550295859,4990,472,0.09458917835671343,93,4,0.043010752688172046,338,38,0.11242603550295859,338,38,0.11242603550295859,38,18,6,1,6,1,14,1,0,0,0,0,0.09370389622171534,0.03238452651942388,0.09813704979245415,1998-2002 PDUFA II
1999,277,18,0.06498194945848375,4695,317,0.06751863684771033,78,1,0.01282051282051282,277,20,0.07220216606498195,277,21,0.07581227436823104,39,19,7,1,7,1,15,1,0,0,0,0,0.11056456641571888,0.02871143193723839,0.11703181757611082,1998-2002 PDUFA II
2000,350,54,0.15428571428571428,5090,487,0.09567779960707269,99,3,0.030303030303030304,350,55,0.15714285714285714,350,57,0.16285714285714287,40,20,8,1,8,1,16,1,0,0,0,0,0.10068304023261347,0.029080396727455552,0.11377280794929683,1998-2002 PDUFA II
2001,302,25,0.08278145695364239,5072,334,0.06585173501577288,68,3,0.04411764705882353,302,28,0.09271523178807947,302,31,0.10264900662251655,41,21,9,1,9,1,17,1,0,0,0,0,0.1150800827208112,0.05258467023172906,0.13096999854450186,1998-2002 PDUFA II
2002,416,45,0.10817307692307693,5594,407,0.07275652484805148,84,7,0.08333333333333333,416,49,0.11778846153846154,416,53,0.12740384615384615,42,22,10,1,10,1,18,1,1,0,0,0,0.09849143596267292,0.05564155486756106,0.11529068727197024,1998-2002 PDUFA II
2003,354,37,0.10451977401129943,1964,143,0.07281059063136457,76,3,0.039473684210526314,354,40,0.11299435028248588,354,41,0.11581920903954802,43,23,11,1,11,1,19,1,1,0,0,0,0.08541906912333996,0.056226192392295725,0.10351659595555383,2003-2007 PDUFA III
2004,505,22,0.04356435643564356,2271,119,0.05239982386613826,109,5,0.045871559633027525,505,30,0.0594059405940594,505,34,0.06732673267326733,44,24,12,1,12,1,20,1,1,0,0,0,0.06919356598422127,0.05067063683674017,0.08393194243211312,2003-2007 PDUFA III
