appl_no,submission_no,appl_type,drug_name,active_ingredient,sponsor_name,approval_date,review_priority_group,orphan_designation,active_ingredient_norm,needs_manual_controlled_substance_flag,arcos_merge_notes
090028,1,ANDA,LEVETIRACETAM,LEVETIRACETAM,PHARMOBEDIENT CNSLTG,2010-03-03,MISSING,False,LEVETIRACETAM,True,
090029,1,ANDA,METHOTREXATE SODIUM PRESERVATIVE FREE,METHOTREXATE SODIUM,CAPLIN ONE LABS,2009-03-31,MISSING,False,METHOTREXATE SODIUM,True,
090030,1,ANDA,OXALIPLATIN,OXALIPLATIN,FRESENIUS KABI USA,2017-01-31,MISSING,False,OXALIPLATIN,True,
090031,1,ANDA,CEFPODOXIME PROXETIL,CEFPODOXIME PROXETIL,CHARTWELL RX,2009-01-14,MISSING,False,CEFPODOXIME PROXETIL,True,
090032,1,ANDA,TELMISARTAN,TELMISARTAN,GLENMARK PHARMS LTD,2014-07-07,MISSING,False,TELMISARTAN,True,
090033,1,ANDA,RIFABUTIN,RIFABUTIN,LUPIN LTD,2014-02-24,MISSING,False,RIFABUTIN,True,
090034,1,ANDA,RIFAMPIN,RIFAMPIN,LUPIN PHARMS,2013-08-21,MISSING,False,RIFAMPIN,True,
090035,1,ANDA,FOLIC ACID,FOLIC ACID,CHARTWELL MOLECULAR,2009-06-09,MISSING,False,FOLIC ACID,True,
090037,1,ANDA,DORZOLAMIDE HYDROCHLORIDE AND TIMOLOL MALEATE,DORZOLAMIDE HYDROCHLORIDE; TIMOLOL MALEATE,BAUSCH AND LOMB,2009-07-14,MISSING,False,DORZOLAMIDE HYDROCHLORIDE TIMOLOL MALEATE,True,
090038,1,ANDA,MILRINONE LACTATE IN PLASTIC CONTAINER,MILRINONE LACTATE,HIKMA FARMACEUTICA,2010-01-21,MISSING,False,MILRINONE LACTATE,True,
090039,1,ANDA,METHOTREXATE SODIUM PRESERVATIVE FREE,METHOTREXATE SODIUM,CAPLIN ONE LABS,2009-03-31,MISSING,False,METHOTREXATE SODIUM,True,
090040,1,ANDA,DOXERCALCIFEROL,DOXERCALCIFEROL,COBREK PHARMA,2011-03-15,MISSING,False,DOXERCALCIFEROL,True,
090041,1,ANDA,MEMANTINE HYDROCHLORIDE,MEMANTINE HYDROCHLORIDE,AMNEAL PHARMS,2015-04-10,MISSING,False,MEMANTINE HYDROCHLORIDE,True,
090043,1,ANDA,MEMANTINE HYDROCHLORIDE,MEMANTINE HYDROCHLORIDE,UPSHER SMITH LABS,2015-07-31,MISSING,False,MEMANTINE HYDROCHLORIDE,True,
090044,1,ANDA,MEMANTINE HYDROCHLORIDE,MEMANTINE HYDROCHLORIDE,ORBION PHARMS,2012-03-12,MISSING,False,MEMANTINE HYDROCHLORIDE,True,
090048,1,ANDA,MEMANTINE HYDROCHLORIDE,MEMANTINE HYDROCHLORIDE,DR REDDYS LABS LTD,2010-04-14,MISSING,False,MEMANTINE HYDROCHLORIDE,True,
090049,1,ANDA,EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE,EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE,MATRIX LABS LTD,2009-03-30,MISSING,False,EMTRICITABINE TENOFOVIR DISOPROXIL FUMARATE,True,
090051,1,ANDA,MEMANTINE HYDROCHLORIDE,MEMANTINE HYDROCHLORIDE,LUPIN LTD,2015-04-10,MISSING,False,MEMANTINE HYDROCHLORIDE,True,
090052,1,ANDA,MEMANTINE HYDROCHLORIDE,MEMANTINE HYDROCHLORIDE,TEVA PHARMS,2011-10-25,MISSING,False,MEMANTINE HYDROCHLORIDE,True,
090054,1,ANDA,RANITIDINE HYDROCHLORIDE,RANITIDINE HYDROCHLORIDE,TOLMAR,2010-11-15,MISSING,False,RANITIDINE HYDROCHLORIDE,True,
090055,1,ANDA,MYCOPHENOLATE MOFETIL,MYCOPHENOLATE MOFETIL,STRIDES PHARMA,2010-06-10,MISSING,False,MYCOPHENOLATE MOFETIL,True,
090056,1,ANDA,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,AUROBINDO,2011-05-31,MISSING,False,DONEPEZIL HYDROCHLORIDE,True,
090057,1,ANDA,CEFTRIAXONE,CEFTRIAXONE SODIUM,SAMSON MEDCL,2014-04-25,MISSING,False,CEFTRIAXONE SODIUM,True,
090058,1,ANDA,MEMANTINE HYDROCHLORIDE,MEMANTINE HYDROCHLORIDE,SUN PHARM,2010-05-05,MISSING,False,MEMANTINE HYDROCHLORIDE,True,
090060,1,ANDA,FINASTERIDE,FINASTERIDE,HETERO LABS LTD III,2013-07-01,MISSING,False,FINASTERIDE,True,
090061,1,ANDA,FINASTERIDE,FINASTERIDE,HETERO LABS LTD III,2010-06-07,MISSING,False,FINASTERIDE,True,
090062,1,ANDA,DIVALPROEX SODIUM,DIVALPROEX SODIUM,PHARMOBEDIENT,2009-03-17,MISSING,False,DIVALPROEX SODIUM,True,
090063,1,ANDA,LEVOFLOXACIN,LEVOFLOXACIN,MYLAN PHARMA,2009-12-04,MISSING,False,LEVOFLOXACIN,True,
090064,1,ANDA,CAFFEINE CITRATE,CAFFEINE CITRATE,AM REGENT,2009-11-20,MISSING,False,CAFFEINE CITRATE,True,
090065,1,ANDA,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,EPIC PHARMA LLC,2015-08-18,MISSING,False,METHADONE HYDROCHLORIDE,True,
090066,1,ANDA,DICLOFENAC SODIUM,DICLOFENAC SODIUM,UNIQUE,2010-12-01,MISSING,False,DICLOFENAC SODIUM,True,
090070,1,ANDA,DIVALPROEX SODIUM,DIVALPROEX SODIUM,REDDYS,2012-03-12,MISSING,False,DIVALPROEX SODIUM,True,
090071,1,ANDA,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,VALEANT PHARMS NORTH,2011-04-15,MISSING,False,VENLAFAXINE HYDROCHLORIDE,True,
090072,1,ANDA,PERINDOPRIL ERBUMINE,PERINDOPRIL ERBUMINE,HIKMA,2009-11-10,MISSING,False,PERINDOPRIL ERBUMINE,True,
090073,1,ANDA,MEMANTINE HYDROCHLORIDE,MEMANTINE HYDROCHLORIDE,POINTVIEW HLDINGS,2015-09-04,MISSING,False,MEMANTINE HYDROCHLORIDE,True,
090074,1,ANDA,PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM,TORRENT PHARMS,2011-01-19,MISSING,False,PANTOPRAZOLE SODIUM,True,
090075,1,ANDA,EPIRUBICIN HYDROCHLORIDE,EPIRUBICIN HYDROCHLORIDE,HISUN PHARM HANGZHOU,2010-03-25,MISSING,False,EPIRUBICIN HYDROCHLORIDE,True,
090077,1,ANDA,CAFFEINE CITRATE,CAFFEINE CITRATE,SUN PHARM,2009-09-30,MISSING,False,CAFFEINE CITRATE,True,
090079,1,ANDA,LEVETIRACETAM,LEVETIRACETAM,QUAGEN,2012-04-11,MISSING,False,LEVETIRACETAM,True,
090080,1,ANDA,MOXIFLOXACIN HYDROCHLORIDE,MOXIFLOXACIN HYDROCHLORIDE,APOTEX,2017-06-30,MISSING,False,MOXIFLOXACIN HYDROCHLORIDE,True,
090081,1,ANDA,DROSPIRENONE AND ETHINYL ESTRADIOL,DROSPIRENONE; ETHINYL ESTRADIOL,DR REDDYS LABS SA,2010-09-07,MISSING,False,DROSPIRENONE ETHINYL ESTRADIOL,True,
090082,1,ANDA,ALPRAZOLAM,ALPRAZOLAM,SUN PHARM,2010-06-17,MISSING,False,ALPRAZOLAM,True,
090083,1,ANDA,LOSARTAN POTASSIUM,LOSARTAN POTASSIUM,AUROBINDO PHARMA,2010-10-06,MISSING,False,LOSARTAN POTASSIUM,True,
090084,1,ANDA,OXYCODONE AND ASPIRIN,ASPIRIN; OXYCODONE HYDROCHLORIDE,ACTAVIS LABS FL INC,2011-03-22,MISSING,False,ASPIRIN OXYCODONE HYDROCHLORIDE,True,
090088,1,ANDA,ANASTROZOLE,ANASTROZOLE,FRESENIUS KABI USA,2010-06-28,MISSING,False,ANASTROZOLE,True,
090092,1,ANDA,ZIDOVUDINE,ZIDOVUDINE,HETERO LABS LTD III,2008-04-25,MISSING,False,ZIDOVUDINE,True,
090094,1,ANDA,DIDANOSINE,DIDANOSINE,AUROBINDO PHARMA,2008-09-24,MISSING,False,DIDANOSINE,True,
090095,1,ANDA,DUTASTERIDE,DUTASTERIDE,BARR,2010-12-21,MISSING,False,DUTASTERIDE,True,
090096,1,ANDA,MOEXIPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE; MOEXIPRIL HYDROCHLORIDE,CHARTWELL RX,2008-09-25,MISSING,False,HYDROCHLOROTHIAZIDE MOEXIPRIL HYDROCHLORIDE,True,
090097,1,ANDA,LIOTHYRONINE SODIUM,LIOTHYRONINE SODIUM,DR REDDYS LABS SA,2009-03-20,MISSING,False,LIOTHYRONINE SODIUM,True,
090098,1,ANDA,TRETINOIN,TRETINOIN,ALLERGAN,2010-03-22,MISSING,False,TRETINOIN,True,
090099,1,ANDA,FOSPHENYTOIN SODIUM,FOSPHENYTOIN SODIUM,AM REGENT,2010-05-13,MISSING,False,FOSPHENYTOIN SODIUM,True,
090100,1,ANDA,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,ZYDUS LIFESCIENCES,2012-10-24,MISSING,False,DONEPEZIL HYDROCHLORIDE,True,
090101,1,ANDA,IRINOTECAN HYDROCHLORIDE,IRINOTECAN HYDROCHLORIDE,TEVA PHARMS USA,2008-11-26,MISSING,False,IRINOTECAN HYDROCHLORIDE,True,
