active_ingredient,active_ingredient_norm,possible_controlled_substance,dea_schedule,arcos_merge_notes
EMPAGLIFLOZIN,EMPAGLIFLOZIN,,,
"EMPAGLIFLOZIN, METFORMIN HYDROCHLORIDE",EMPAGLIFLOZIN METFORMIN HYDROCHLORIDE,,,
EMTRICITABINE,EMTRICITABINE,,,
"EMTRICITABINE, TENOFOVIR ALAFENAMIDE",EMTRICITABINE TENOFOVIR ALAFENAMIDE,,,
ENALAPRIL MALEATE,ENALAPRIL MALEATE,,,
ENALAPRILAT,ENALAPRILAT,,,
ENASIDENIB MESYLATE,ENASIDENIB MESYLATE,,,
ENCORAFENIB,ENCORAFENIB,,,
ENFLURANE,ENFLURANE,,,
ENFORTUMAB VEDOTIN-EJFV,ENFORTUMAB VEDOTIN EJFV,,,
ENFUVIRTIDE,ENFUVIRTIDE,,,
ENMETAZOBACTAM,ENMETAZOBACTAM,,,
ENOXACIN,ENOXACIN,,,
ENOXAPARIN SODIUM,ENOXAPARIN SODIUM,,,
ENSARTINIB HYDROCHLORIDE,ENSARTINIB HYDROCHLORIDE,,,
ENSIFENTRINE,ENSIFENTRINE,,,
ENTACAPONE,ENTACAPONE,,,
ENTECAVIR,ENTECAVIR,,,
ENTRECTINIB,ENTRECTINIB,,,
ENZALUTAMIDE,ENZALUTAMIDE,,,
EPCORITAMAB-BYSP,EPCORITAMAB BYSP,,,
EPHEDRINE HYDROCHLORIDE,EPHEDRINE HYDROCHLORIDE,,,
EPHEDRINE SULFATE,EPHEDRINE SULFATE,,,
EPINASTINE HYDROCHLORIDE,EPINASTINE HYDROCHLORIDE,,,
EPINEPHRINE,EPINEPHRINE,,,
EPINEPHRINE BITARTRATE,EPINEPHRINE BITARTRATE,,,
EPIRUBICIN HYDROCHLORIDE,EPIRUBICIN HYDROCHLORIDE,,,
EPLERENONE,EPLERENONE,,,
EPLONTERSEN SODIUM,EPLONTERSEN SODIUM,,,
EPOETIN ALFA,EPOETIN ALFA,,,
EPOETIN ALFA-EPBX,EPOETIN ALFA EPBX,,,
EPOPROSTENOL SODIUM,EPOPROSTENOL SODIUM,,,
EPROSARTAN MESYLATE,EPROSARTAN MESYLATE,,,
EPTIFIBATIDE,EPTIFIBATIDE,,,
EPTINEZUMAB-JJMR,EPTINEZUMAB JJMR,,,
ERAVACYCLINE DIHYDROCHLORIDE,ERAVACYCLINE DIHYDROCHLORIDE,,,
ERDAFITINIB,ERDAFITINIB,,,
ERENUMAB-AOOE,ERENUMAB AOOE,,,
ERGOCALCIFEROL,ERGOCALCIFEROL,,,
ERGOLOID MESYLATES,ERGOLOID MESYLATES,,,
ERGOTAMINE TARTRATE,ERGOTAMINE TARTRATE,,,
ERIBULIN MESYLATE,ERIBULIN MESYLATE,,,
ERLOTINIB HYDROCHLORIDE,ERLOTINIB HYDROCHLORIDE,,,
ERTAPENEM SODIUM,ERTAPENEM SODIUM,,,
ERTUGLIFLOZIN,ERTUGLIFLOZIN,,,
ERYTHROMYCIN,ERYTHROMYCIN,,,
ERYTHROMYCIN ESTOLATE,ERYTHROMYCIN ESTOLATE,,,
ERYTHROMYCIN ETHYLSUCCINATE,ERYTHROMYCIN ETHYLSUCCINATE,,,
ERYTHROMYCIN LACTOBIONATE,ERYTHROMYCIN LACTOBIONATE,,,
ERYTHROMYCIN STEARATE,ERYTHROMYCIN STEARATE,,,
ESCITALOPRAM OXALATE,ESCITALOPRAM OXALATE,,,
ESKETAMINE HYDROCHLORIDE,ESKETAMINE HYDROCHLORIDE,,,
ESLICARBAZEPINE ACETATE,ESLICARBAZEPINE ACETATE,,,
ESMOLOL HYDROCHLORIDE,ESMOLOL HYDROCHLORIDE,,,
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,,,
ESOMEPRAZOLE SODIUM,ESOMEPRAZOLE SODIUM,,,
ESOMEPRAZOLE STRONTIUM,ESOMEPRAZOLE STRONTIUM,,,
ESTAZOLAM,ESTAZOLAM,,,
ESTETROL,ESTETROL,,,
ESTRADIOL,ESTRADIOL,,,
ESTRADIOL ACETATE,ESTRADIOL ACETATE,,,
ESTRADIOL CYPIONATE,ESTRADIOL CYPIONATE,,,
ESTRADIOL HEMIHYDRATE,ESTRADIOL HEMIHYDRATE,,,
ESTRADIOL VALERATE,ESTRADIOL VALERATE,,,
ESTRAMUSTINE PHOSPHATE SODIUM,ESTRAMUSTINE PHOSPHATE SODIUM,,,
"ESTROGENS, CONJUGATED",ESTROGENS CONJUGATED,,,
"ESTROGENS, CONJUGATED SYNTHETIC A",ESTROGENS CONJUGATED SYNTHETIC A,,,
"ESTROGENS, CONJUGATED SYNTHETIC B",ESTROGENS CONJUGATED SYNTHETIC B,,,
"ESTROGENS, ESTERIFIED",ESTROGENS ESTERIFIED,,,
ESTRONE,ESTRONE,,,
ESTROPIPATE,ESTROPIPATE,,,
ESZOPICLONE,ESZOPICLONE,,,
ETANERCEPT,ETANERCEPT,,,
ETANERCEPT-SZZS,ETANERCEPT SZZS,,,
ETANERCEPT-YKRO,ETANERCEPT YKRO,,,
ETELCALCETIDE,ETELCALCETIDE,,,
ETEPLIRSEN,ETEPLIRSEN,,,
ETHACRYNATE SODIUM,ETHACRYNATE SODIUM,,,
ETHACRYNIC ACID,ETHACRYNIC ACID,,,
ETHAMBUTOL HYDROCHLORIDE,ETHAMBUTOL HYDROCHLORIDE,,,
ETHANOLAMINE OLEATE,ETHANOLAMINE OLEATE,,,
ETHCHLORVYNOL,ETHCHLORVYNOL,,,
ETHINAMATE,ETHINAMATE,,,
ETHINYL ESTRADIOL,ETHINYL ESTRADIOL,,,
ETHIODIZED OIL,ETHIODIZED OIL,,,
ETHIONAMIDE,ETHIONAMIDE,,,
ETHOSUXIMIDE,ETHOSUXIMIDE,,,
ETHOTOIN,ETHOTOIN,,,
ETHOXZOLAMIDE,ETHOXZOLAMIDE,,,
ETHYLESTRENOL,ETHYLESTRENOL,,,
ETHYNODIOL DIACETATE,ETHYNODIOL DIACETATE,,,
ETIDOCAINE HYDROCHLORIDE,ETIDOCAINE HYDROCHLORIDE,,,
ETIDRONATE DISODIUM,ETIDRONATE DISODIUM,,,
ETODOLAC,ETODOLAC,,,
ETOMIDATE,ETOMIDATE,,,
ETONOGESTREL,ETONOGESTREL,,,
ETOPOSIDE,ETOPOSIDE,,,
ETOPOSIDE PHOSPHATE,ETOPOSIDE PHOSPHATE,,,
ETRASIMOD ARGININE,ETRASIMOD ARGININE,,,
ETRAVIRINE,ETRAVIRINE,,,
ETRETINATE,ETRETINATE,,,
ETRIPAMIL,ETRIPAMIL,,,
EVEROLIMUS,EVEROLIMUS,,,
EVINACUMAB-DGNB,EVINACUMAB DGNB,,,
EVOLOCUMAB,EVOLOCUMAB,,,
EXEMESTANE,EXEMESTANE,,,
EXENATIDE SYNTHETIC,EXENATIDE SYNTHETIC,,,
EZETIMIBE,EZETIMIBE,,,
EZOGABINE,EZOGABINE,,,
FAM-TRASTUZUMAB DERUXTECAN-NXKI,FAM TRASTUZUMAB DERUXTECAN NXKI,,,
FAMCICLOVIR,FAMCICLOVIR,,,
FAMOTIDINE,FAMOTIDINE,,,
FARICIMAB-SVOA,FARICIMAB SVOA,,,
FEBUXOSTAT,FEBUXOSTAT,,,
FEDRATINIB HYDROCHLORIDE,FEDRATINIB HYDROCHLORIDE,,,
FELBAMATE,FELBAMATE,,,
FELODIPINE,FELODIPINE,,,
FENFLURAMINE,FENFLURAMINE,,,
FENFLURAMINE HYDROCHLORIDE,FENFLURAMINE HYDROCHLORIDE,,,
FENOFIBRATE,FENOFIBRATE,,,
FENOFIBRIC ACID,FENOFIBRIC ACID,,,
FENOLDOPAM MESYLATE,FENOLDOPAM MESYLATE,,,
FENOPROFEN CALCIUM,FENOPROFEN CALCIUM,,,
FENTANYL,FENTANYL,,,
FENTANYL CITRATE,FENTANYL CITRATE,,,
FENTANYL HYDROCHLORIDE,FENTANYL HYDROCHLORIDE,,,
FERRIC AMMONIUM CITRATE,FERRIC AMMONIUM CITRATE,,,
FERRIC CARBOXYMALTOSE,FERRIC CARBOXYMALTOSE,,,
FERRIC CITRATE,FERRIC CITRATE,,,
FERRIC DERISOMALTOSE,FERRIC DERISOMALTOSE,,,
FERRIC HEXACYANOFERRATE(II),FERRIC HEXACYANOFERRATE II,,,
FERRIC MALTOL,FERRIC MALTOL,,,
FERRIC OXYHYDROXIDE,FERRIC OXYHYDROXIDE,,,
FERRIC PYROPHOSPHATE CITRATE,FERRIC PYROPHOSPHATE CITRATE,,,
"FERROUS CITRATE, FE-59",FERROUS CITRATE FE 59,,,
FERROUS FUMARATE,FERROUS FUMARATE,,,
FERROUS SULFATE,FERROUS SULFATE,,,
FERUMOXIDES,FERUMOXIDES,,,
FERUMOXSIL,FERUMOXSIL,,,
FERUMOXYTOL,FERUMOXYTOL,,,
FESOTERODINE FUMARATE,FESOTERODINE FUMARATE,,,
FEXINIDAZOLE,FEXINIDAZOLE,,,
FEXOFENADINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE,,,
FEZOLINETANT,FEZOLINETANT,,,
FIBRINOLYSIN,FIBRINOLYSIN,,,
FIDAXOMICIN,FIDAXOMICIN,,,
FILGRASTIM,FILGRASTIM,,,
FILGRASTIM-AAFI,FILGRASTIM AAFI,,,
FILGRASTIM-AYOW,FILGRASTIM AYOW,,,
FILGRASTIM-LAHA,FILGRASTIM LAHA,,,
FILGRASTIM-SNDZ,FILGRASTIM SNDZ,,,
FILGRASTIM-TXID,FILGRASTIM TXID,,,
FINAFLOXACIN,FINAFLOXACIN,,,
FINASTERIDE,FINASTERIDE,,,
FINERENONE,FINERENONE,,,
FINGOLIMOD,FINGOLIMOD,,,
FINGOLIMOD HYDROCHLORIDE,FINGOLIMOD HYDROCHLORIDE,,,
FINGOLIMOD LAURYL SULFATE,FINGOLIMOD LAURYL SULFATE,,,
FISH OIL,FISH OIL,,,
FISH OIL TRIGLYCERIDES,FISH OIL TRIGLYCERIDES,,,
FITUSIRAN SODIUM,FITUSIRAN SODIUM,,,
FLAVOXATE HYDROCHLORIDE,FLAVOXATE HYDROCHLORIDE,,,
FLECAINIDE ACETATE,FLECAINIDE ACETATE,,,
FLIBANSERIN,FLIBANSERIN,,,
FLORBETABEN F-18,FLORBETABEN F 18,,,
FLORBETAPIR F-18,FLORBETAPIR F 18,,,
FLORTAUCIPIR F-18,FLORTAUCIPIR F 18,,,
FLOTUFOLASTAT F-18 GALLIUM,FLOTUFOLASTAT F 18 GALLIUM,,,
FLOXURIDINE,FLOXURIDINE,,,
FLUCICLOVINE F-18,FLUCICLOVINE F 18,,,
FLUCONAZOLE,FLUCONAZOLE,,,
FLUCYTOSINE,FLUCYTOSINE,,,
FLUDARABINE PHOSPHATE,FLUDARABINE PHOSPHATE,,,
FLUDEOXYGLUCOSE F-18,FLUDEOXYGLUCOSE F 18,,,
FLUDROCORTISONE ACETATE,FLUDROCORTISONE ACETATE,,,
FLUMAZENIL,FLUMAZENIL,,,
FLUNISOLIDE,FLUNISOLIDE,,,
FLUOCINOLONE ACETONIDE,FLUOCINOLONE ACETONIDE,,,
FLUOCINONIDE,FLUOCINONIDE,,,
FLUORESCEIN SODIUM,FLUORESCEIN SODIUM,,,
FLUORODOPA F-18,FLUORODOPA F 18,,,
FLUOROESTRADIOL F-18,FLUOROESTRADIOL F 18,,,
FLUOROMETHOLONE,FLUOROMETHOLONE,,,
FLUOROMETHOLONE ACETATE,FLUOROMETHOLONE ACETATE,,,
FLUOROURACIL,FLUOROURACIL,,,
FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE,,,
FLUOXYMESTERONE,FLUOXYMESTERONE,,,
FLUPHENAZINE DECANOATE,FLUPHENAZINE DECANOATE,,,
FLUPHENAZINE ENANTHATE,FLUPHENAZINE ENANTHATE,,,
FLUPHENAZINE HYDROCHLORIDE,FLUPHENAZINE HYDROCHLORIDE,,,
FLURANDRENOLIDE,FLURANDRENOLIDE,,,
FLURAZEPAM HYDROCHLORIDE,FLURAZEPAM HYDROCHLORIDE,,,
FLURBIPROFEN,FLURBIPROFEN,,,
FLURBIPROFEN SODIUM,FLURBIPROFEN SODIUM,,,
FLURPIRIDAZ F-18,FLURPIRIDAZ F 18,,,
FLUTAMIDE,FLUTAMIDE,,,
FLUTEMETAMOL F-18,FLUTEMETAMOL F 18,,,
FLUTICASONE FUROATE,FLUTICASONE FUROATE,,,
FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,,,
FLUVASTATIN SODIUM,FLUVASTATIN SODIUM,,,
FLUVOXAMINE MALEATE,FLUVOXAMINE MALEATE,,,
FOLIC ACID,FOLIC ACID,,,
FOLLITROPIN ALFA/BETA,FOLLITROPIN ALFA BETA,,,
FOMEPIZOLE,FOMEPIZOLE,,,
FOMIVIRSEN SODIUM,FOMIVIRSEN SODIUM,,,
FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,,,
FORMOTEROL FUMARATE,FORMOTEROL FUMARATE,,,
FORMOTEROL FUMARATE DIHYDRATE,FORMOTEROL FUMARATE DIHYDRATE,,,
FOSAMPRENAVIR CALCIUM,FOSAMPRENAVIR CALCIUM,,,
FOSAPREPITANT DIMEGLUMINE,FOSAPREPITANT DIMEGLUMINE,,,
FOSCARBIDOPA,FOSCARBIDOPA,,,
FOSCARNET SODIUM,FOSCARNET SODIUM,,,
FOSDENOPTERIN HYDROBROMIDE,FOSDENOPTERIN HYDROBROMIDE,,,
FOSFOMYCIN DISODIUM,FOSFOMYCIN DISODIUM,,,
FOSFOMYCIN TROMETHAMINE,FOSFOMYCIN TROMETHAMINE,,,
FOSINOPRIL SODIUM,FOSINOPRIL SODIUM,,,
FOSLEVODOPA,FOSLEVODOPA,,,
FOSNETUPITANT CHLORIDE HYDROCHLORIDE,FOSNETUPITANT CHLORIDE HYDROCHLORIDE,,,
FOSPHENYTOIN SODIUM,FOSPHENYTOIN SODIUM,,,
FOSPROPOFOL DISODIUM,FOSPROPOFOL DISODIUM,,,
FOSTAMATINIB DISODIUM,FOSTAMATINIB DISODIUM,,,
FOSTEMSAVIR TROMETHAMINE,FOSTEMSAVIR TROMETHAMINE,,,
FREMANEZUMAB-VFRM,FREMANEZUMAB VFRM,,,
FROVATRIPTAN SUCCINATE,FROVATRIPTAN SUCCINATE,,,
FRUQUINTINIB,FRUQUINTINIB,,,
FULVESTRANT,FULVESTRANT,,,
FURAZOLIDONE,FURAZOLIDONE,,,
FUROSEMIDE,FUROSEMIDE,,,
FUTIBATINIB,FUTIBATINIB,,,
GABAPENTIN,GABAPENTIN,,,
GABAPENTIN ENACARBIL,GABAPENTIN ENACARBIL,,,
GABAPENTIN ENCARBIL,GABAPENTIN ENCARBIL,,,
GADOBENATE DIMEGLUMINE,GADOBENATE DIMEGLUMINE,,,
GADOBUTROL,GADOBUTROL,,,
GADODIAMIDE,GADODIAMIDE,,,
GADOFOSVESET TRISODIUM,GADOFOSVESET TRISODIUM,,,
GADOPENTETATE DIMEGLUMINE,GADOPENTETATE DIMEGLUMINE,,,
GADOPICLENOL,GADOPICLENOL,,,
GADOTERATE MEGLUMINE,GADOTERATE MEGLUMINE,,,
GADOTERIDOL,GADOTERIDOL,,,
GADOVERSETAMIDE,GADOVERSETAMIDE,,,
GADOXETATE DISODIUM,GADOXETATE DISODIUM,,,
GALANTAMINE HYDROBROMIDE,GALANTAMINE HYDROBROMIDE,,,
GALCANEZUMAB-GNLM,GALCANEZUMAB GNLM,,,
GALLIUM CITRATE GA-67,GALLIUM CITRATE GA 67,,,
GALLIUM DOTATATE GA-68,GALLIUM DOTATATE GA 68,,,
GALLIUM GA-68 EDOTREOTIDE,GALLIUM GA 68 EDOTREOTIDE,,,
GALLIUM GA-68 GOZETOTIDE,GALLIUM GA 68 GOZETOTIDE,,,
GALLIUM NITRATE,GALLIUM NITRATE,,,
GALSULFASE,GALSULFASE,,,
GANAXOLONE,GANAXOLONE,,,
GANCICLOVIR,GANCICLOVIR,,,
GANCICLOVIR SODIUM,GANCICLOVIR SODIUM,,,
GANIRELIX ACETATE,GANIRELIX ACETATE,,,
GARADACIMAB-GXII,GARADACIMAB GXII,,,
GATIFLOXACIN,GATIFLOXACIN,,,
GEFITINIB,GEFITINIB,,,
GEMCITABINE,GEMCITABINE,,,
GEMCITABINE HYDROCHLORIDE,GEMCITABINE HYDROCHLORIDE,,,
GEMFIBROZIL,GEMFIBROZIL,,,
GEMIFLOXACIN MESYLATE,GEMIFLOXACIN MESYLATE,,,
GEMTUZUMAB OZOGAMICIN,GEMTUZUMAB OZOGAMICIN,,,
GENTAMICIN SULFATE,GENTAMICIN SULFATE,,,
GENTIAN VIOLET,GENTIAN VIOLET,,,
GEPIRONE HYDROCHLORIDE,GEPIRONE HYDROCHLORIDE,,,
GEPOTIDACIN MESYLATE,GEPOTIDACIN MESYLATE,,,
GILTERITINIB FUMARATE,GILTERITINIB FUMARATE,,,
GIVINOSTAT HYDROCHLORIDE,GIVINOSTAT HYDROCHLORIDE,,,
GIVOSIRAN SODIUM,GIVOSIRAN SODIUM,,,
GLASDEGIB MALEATE,GLASDEGIB MALEATE,,,
GLATIRAMER ACETATE,GLATIRAMER ACETATE,,,
GLECAPREVIR,GLECAPREVIR,,,
GLIMEPIRIDE,GLIMEPIRIDE,,,
GLIPIZIDE,GLIPIZIDE,,,
GLOFITAMAB-GXBM,GLOFITAMAB GXBM,,,
GLUCAGON,GLUCAGON,,,
GLUCAGON HYDROCHLORIDE,GLUCAGON HYDROCHLORIDE,,,
GLUCARPIDASE,GLUCARPIDASE,,,
GLUCONOLACTONE,GLUCONOLACTONE,,,
GLUTATHIONE DISULFIDE,GLUTATHIONE DISULFIDE,,,
GLUTETHIMIDE,GLUTETHIMIDE,,,
GLYBURIDE,GLYBURIDE,,,
GLYCERIN,GLYCERIN,,,
GLYCEROL PHENYLBUTYRATE,GLYCEROL PHENYLBUTYRATE,,,
GLYCINE,GLYCINE,,,
GLYCOPYRROLATE,GLYCOPYRROLATE,,,
GLYCOPYRRONIUM TOSYLATE,GLYCOPYRRONIUM TOSYLATE,,,
GOLIMUMAB,GOLIMUMAB,,,
GOLODIRSEN,GOLODIRSEN,,,
GONADORELIN ACETATE,GONADORELIN ACETATE,,,
GONADORELIN HYDROCHLORIDE,GONADORELIN HYDROCHLORIDE,,,
"GONADOTROPIN, CHORIONIC",GONADOTROPIN CHORIONIC,,,
GOSERELIN,GOSERELIN,,,
GOSERELIN ACETATE,GOSERELIN ACETATE,,,
GRAMICIDIN,GRAMICIDIN,,,
GRANISETRON,GRANISETRON,,,
GRANISETRON HYDROCHLORIDE,GRANISETRON HYDROCHLORIDE,,,
GRAZOPREVIR,GRAZOPREVIR,,,
GREPAFLOXACIN HYDROCHLORIDE,GREPAFLOXACIN HYDROCHLORIDE,,,
"GRISEOFULVIN, MICROCRYSTALLINE",GRISEOFULVIN MICROCRYSTALLINE,,,
"GRISEOFULVIN, MICROSIZE",GRISEOFULVIN MICROSIZE,,,
"GRISEOFULVIN, ULTRAMICROCRYSTALLINE",GRISEOFULVIN ULTRAMICROCRYSTALLINE,,,
"GRISEOFULVIN, ULTRAMICROSIZE",GRISEOFULVIN ULTRAMICROSIZE,,,
GUAIFENESIN,GUAIFENESIN,,,
GUANABENZ ACETATE,GUANABENZ ACETATE,,,
GUANADREL SULFATE,GUANADREL SULFATE,,,
GUANETHIDINE MONOSULFATE,GUANETHIDINE MONOSULFATE,,,
GUANFACINE HYDROCHLORIDE,GUANFACINE HYDROCHLORIDE,,,
GUANIDINE HYDROCHLORIDE,GUANIDINE HYDROCHLORIDE,,,
GUSELKUMAB,GUSELKUMAB,,,
HALAZEPAM,HALAZEPAM,,,
HALCINONIDE,HALCINONIDE,,,
HALOBETASOL PROPIONATE,HALOBETASOL PROPIONATE,,,
HALOFANTRINE HYDROCHLORIDE,HALOFANTRINE HYDROCHLORIDE,,,
HALOPERIDOL,HALOPERIDOL,,,
HALOPERIDOL DECANOATE,HALOPERIDOL DECANOATE,,,
HALOPERIDOL LACTATE,HALOPERIDOL LACTATE,,,
HALOPROGIN,HALOPROGIN,,,
HALOTHANE,HALOTHANE,,,
HELIUM,HELIUM,,,
HEPARIN SODIUM,HEPARIN SODIUM,,,
HETACILLIN POTASSIUM,HETACILLIN POTASSIUM,,,
HEXACHLOROPHENE,HEXACHLOROPHENE,,,
HEXAMINOLEVULINATE HYDROCHLORIDE,HEXAMINOLEVULINATE HYDROCHLORIDE,,,
HEXOCYCLIUM METHYLSULFATE,HEXOCYCLIUM METHYLSULFATE,,,
HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE,,,
HISTRELIN ACETATE,HISTRELIN ACETATE,,,
HOMATROPINE METHYLBROMIDE,HOMATROPINE METHYLBROMIDE,,,
HYALURONIDASE,HYALURONIDASE,,,
HYALURONIDASE (HUMAN RECOMBINANT),HYALURONIDASE HUMAN RECOMBINANT,,,
HYALURONIDASE RECOMBINANT HUMAN,HYALURONIDASE RECOMBINANT HUMAN,,,
HYALURONIDASE-NVHY,HYALURONIDASE NVHY,,,
HYDRALAZINE HYDROCHLORIDE,HYDRALAZINE HYDROCHLORIDE,,,
HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,,,
HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE,,,
HYDROCODONE POLISTIREX,HYDROCODONE POLISTIREX,,,
HYDROCORTAMATE HYDROCHLORIDE,HYDROCORTAMATE HYDROCHLORIDE,,,
HYDROCORTISONE,HYDROCORTISONE,,,
HYDROCORTISONE ACETATE,HYDROCORTISONE ACETATE,,,
HYDROCORTISONE BUTYRATE,HYDROCORTISONE BUTYRATE,,,
HYDROCORTISONE CYPIONATE,HYDROCORTISONE CYPIONATE,,,
HYDROCORTISONE PROBUTATE,HYDROCORTISONE PROBUTATE,,,
HYDROCORTISONE SODIUM PHOSPHATE,HYDROCORTISONE SODIUM PHOSPHATE,,,
HYDROCORTISONE SODIUM SUCCINATE,HYDROCORTISONE SODIUM SUCCINATE,,,
HYDROCORTISONE VALERATE,HYDROCORTISONE VALERATE,,,
HYDROFLUMETHIAZIDE,HYDROFLUMETHIAZIDE,,,
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE,,,
HYDROMORPHONE HYDROCHLORIDE,HYDROMORPHONE HYDROCHLORIDE,,,
HYDROQUINONE,HYDROQUINONE,,,
HYDROXOCOBALAMIN,HYDROXOCOBALAMIN,,,
HYDROXYAMPHETAMINE HYDROBROMIDE,HYDROXYAMPHETAMINE HYDROBROMIDE,,,
HYDROXYCHLOROQUINE SULFATE,HYDROXYCHLOROQUINE SULFATE,,,
HYDROXYPROGESTERONE CAPROATE,HYDROXYPROGESTERONE CAPROATE,,,
HYDROXYPROPYL CELLULOSE,HYDROXYPROPYL CELLULOSE,,,
HYDROXYSTILBAMIDINE ISETHIONATE,HYDROXYSTILBAMIDINE ISETHIONATE,,,
HYDROXYUREA,HYDROXYUREA,,,
HYDROXYZINE HYDROCHLORIDE,HYDROXYZINE HYDROCHLORIDE,,,
HYDROXYZINE PAMOATE,HYDROXYZINE PAMOATE,,,
IBALIZUMAB-UIYK,IBALIZUMAB UIYK,,,
IBANDRONATE SODIUM,IBANDRONATE SODIUM,,,
IBREXAFUNGERP CITRATE,IBREXAFUNGERP CITRATE,,,
IBRITUMOMAB TIUXETAN,IBRITUMOMAB TIUXETAN,,,
IBRUTINIB,IBRUTINIB,,,
IBUPROFEN,IBUPROFEN,,,
IBUPROFEN LYSINE,IBUPROFEN LYSINE,,,
IBUPROFEN SODIUM,IBUPROFEN SODIUM,,,
IBUTILIDE FUMARATE,IBUTILIDE FUMARATE,,,
ICATIBANT ACETATE,ICATIBANT ACETATE,,,
ICODEXTRIN,ICODEXTRIN,,,
ICOSAPENT ETHYL,ICOSAPENT ETHYL,,,
IDARUBICIN HYDROCHLORIDE,IDARUBICIN HYDROCHLORIDE,,,
IDARUCIZUMAB,IDARUCIZUMAB,,,
IDELALISIB,IDELALISIB,,,
IDOXURIDINE,IDOXURIDINE,,,
IDURSULFASE,IDURSULFASE,,,
IFOSFAMIDE,IFOSFAMIDE,,,
ILOPERIDONE,ILOPERIDONE,,,
ILOPROST,ILOPROST,,,
IMATINIB MESYLATE,IMATINIB MESYLATE,,,
IMCIROMAB PENTETATE,IMCIROMAB PENTETATE,,,
IMETELSTAT SODIUM,IMETELSTAT SODIUM,,,
IMIGLUCERASE,IMIGLUCERASE,,,
IMIPENEM,IMIPENEM,,,
IMIPRAMINE HYDROCHLORIDE,IMIPRAMINE HYDROCHLORIDE,,,
IMIPRAMINE PAMOATE,IMIPRAMINE PAMOATE,,,
IMIQUIMOD,IMIQUIMOD,,,
IMLUNESTRANT TOSYLATE,IMLUNESTRANT TOSYLATE,,,
INAMRINONE LACTATE,INAMRINONE LACTATE,,,
INAVOLISIB,INAVOLISIB,,,
INCLISIRAN SODIUM,INCLISIRAN SODIUM,,,
INDACATEROL MALEATE,INDACATEROL MALEATE,,,
INDAPAMIDE,INDAPAMIDE,,,
INDECAINIDE HYDROCHLORIDE,INDECAINIDE HYDROCHLORIDE,,,
INDIGOTINDISULFONATE SODIUM,INDIGOTINDISULFONATE SODIUM,,,
INDINAVIR SULFATE,INDINAVIR SULFATE,,,
INDIUM IN-111 CHLORIDE,INDIUM IN 111 CHLORIDE,,,
INDIUM IN-111 OXYQUINOLINE,INDIUM IN 111 OXYQUINOLINE,,,
INDIUM IN-111 PENTETATE DISODIUM,INDIUM IN 111 PENTETATE DISODIUM,,,
INDIUM IN-111 PENTETREOTIDE KIT,INDIUM IN 111 PENTETREOTIDE KIT,,,
INDOCYANINE GREEN,INDOCYANINE GREEN,,,
INDOMETHACIN,INDOMETHACIN,,,
INDOMETHACIN SODIUM,INDOMETHACIN SODIUM,,,
INEBILIZUMAB-CDON,INEBILIZUMAB CDON,,,
INFIGRATINIB PHOSPHATE,INFIGRATINIB PHOSPHATE,,,
INFLIXIMAB,INFLIXIMAB,,,
INFLIXIMAB-ABDA,INFLIXIMAB ABDA,,,
INFLIXIMAB-AXXQ,INFLIXIMAB AXXQ,,,
INFLIXIMAB-DYYB,INFLIXIMAB DYYB,,,
INFLIXIMAB-QBTX,INFLIXIMAB QBTX,,,
INGENOL MEBUTATE,INGENOL MEBUTATE,,,
INOTERSEN SODIUM,INOTERSEN SODIUM,,,
INOTUZUMAB OZOGAMICIN,INOTUZUMAB OZOGAMICIN,,,
INSULIN ASPART,INSULIN ASPART,,,
INSULIN ASPART PROTAMINE RECOMBINANT,INSULIN ASPART PROTAMINE RECOMBINANT,,,
INSULIN ASPART RECOMBINANT,INSULIN ASPART RECOMBINANT,,,
INSULIN ASPART-SZJJ,INSULIN ASPART SZJJ,,,
INSULIN ASPART-XJHZ,INSULIN ASPART XJHZ,,,
INSULIN DEGLUDEC,INSULIN DEGLUDEC,,,
INSULIN DETEMIR,INSULIN DETEMIR,,,
INSULIN DETEMIR RECOMBINANT,INSULIN DETEMIR RECOMBINANT,,,
INSULIN GLARGINE,INSULIN GLARGINE,,,
INSULIN GLARGINE RECOMBINANT,INSULIN GLARGINE RECOMBINANT,,,
INSULIN GLARGINE-AGLR,INSULIN GLARGINE AGLR,,,
INSULIN GLARGINE-YFGN,INSULIN GLARGINE YFGN,,,
INSULIN GLULISINE RECOMBINANT,INSULIN GLULISINE RECOMBINANT,,,
INSULIN HUMAN,INSULIN HUMAN,,,
INSULIN LISPRO,INSULIN LISPRO,,,
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN LISPRO PROTAMINE RECOMBINANT,,,
INSULIN LISPRO RECOMBINANT,INSULIN LISPRO RECOMBINANT,,,
INSULIN LISPRO-AABC,INSULIN LISPRO AABC,,,
