ApplNo,SubmissionType,SubmissionNo,SubmissionStatus,SubmissionStatusDate,approval_year,ReviewPriority_raw,ReviewPriority,ApplType_raw,ApplType,SponsorName,DrugName,ActiveIngredient,n_products,ProductNo_list,SubmissionClassCodeID,SubmissionClassCode,SubmissionClassCodeDescription
061953,ORIG,1,AP,1980-09-10,1980,,UNKNOWN,ANDA,ANDA,RACHELLE,DOXYCHEL HYCLATE,DOXYCYCLINE HYCLATE,1.0,001,,,
061954,ORIG,1,AP,1985-09-20,1985,,UNKNOWN,ANDA,ANDA,TEVA,MYCO-TRIACET II,NYSTATIN; TRIAMCINOLONE ACETONIDE,1.0,002,,,
061955,ORIG,1,AP,1976-04-09,1976,,UNKNOWN,,UNKNOWN,,,,,,,,
061957,ORIG,1,AP,1974-07-25,1974,,UNKNOWN,,UNKNOWN,,,,,,,,
061961,ORIG,1,AP,1994-09-08,1994,,UNKNOWN,,UNKNOWN,,,,,,,,
061965,ORIG,1,AP,1994-09-16,1994,,UNKNOWN,ANDA,ANDA,SANDOZ,NYSTATIN,NYSTATIN,1.0,001,,,
061966,ORIG,1,AP,1976-05-25,1976,,UNKNOWN,ANDA,ANDA,COSETTE,NYSTATIN,NYSTATIN,1.0,001,,,
061969,ORIG,1,AP,1976-04-26,1976,,UNKNOWN,ANDA,ANDA,IVAX SUB TEVA PHARMS,CEPHALEXIN,CEPHALEXIN,2.0,001; 002,,,
061975,ORIG,1,AP,1978-01-05,1978,,UNKNOWN,,UNKNOWN,,,,,,,,
061976,ORIG,1,AP,1977-02-09,1977,,UNKNOWN,ANDA,ANDA,APOTHECON,VELOSEF,CEPHRADINE,5.0,001; 002; 003; 004; 005,,,
061980,ORIG,1,AP,1976-05-04,1976,,UNKNOWN,ANDA,ANDA,PUREPAC PHARM,AMPICILLIN TRIHYDRATE,AMPICILLIN/AMPICILLIN TRIHYDRATE,2.0,001; 002,,,
061988,ORIG,1,AP,1976-08-09,1976,,UNKNOWN,ANDA,ANDA,BRISTOL MYERS SQUIBB,,,,,,,
061994,ORIG,1,AP,1976-05-24,1976,,UNKNOWN,,UNKNOWN,,,,,,,,
061996,ORIG,1,AP,1982-04-06,1982,,UNKNOWN,ANDA,ANDA,CHARTWELL RX,FULVICIN P/G; FULVICIN P/G 165; FULVICIN P/G 330,"GRISEOFULVIN, ULTRAMICROSIZE",4.0,001; 002; 003; 004,,,
062007,ORIG,1,AP,1977-09-26,1977,,UNKNOWN,,UNKNOWN,,,,,,,,
062008,ORIG,1,AP,1976-10-01,1976,,UNKNOWN,ANDA,ANDA,LILLY,NEBCIN,TOBRAMYCIN SULFATE,2.0,001; 004,,,
062014,ORIG,1,AP,1994-09-16,1994,,UNKNOWN,,UNKNOWN,,,,,,,,
062025,ORIG,1,AP,1979-12-20,1979,,UNKNOWN,,UNKNOWN,,,,,,,,
062031,ORIG,1,AP,1982-10-13,1982,,UNKNOWN,ANDA,ANDA,ACTAVIS LABS FL INC,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,2.0,001; 002,,,
062032,ORIG,1,AP,1977-08-24,1977,,UNKNOWN,ANDA,ANDA,PARKE DAVIS,ERYPAR,ERYTHROMYCIN STEARATE,2.0,001; 002,,,
062036,ORIG,1,AP,1980-11-13,1980,,UNKNOWN,ANDA,ANDA,GLAXOSMITHKLINE,AEROSPORIN,POLYMYXIN B SULFATE,1.0,001,,,
062038,ORIG,1,AP,1977-06-24,1977,,UNKNOWN,,UNKNOWN,,,,,,,,
062039,ORIG,1,AP,1978-07-10,1978,,UNKNOWN,,UNKNOWN,,,,,,,,
062042,ORIG,1,AP,1981-08-31,1981,,UNKNOWN,ANDA,ANDA,EPIC PHARMA LLC,CHLORAMPHENICOL,CHLORAMPHENICOL,1.0,001,,,
062045,ORIG,1,AP,1985-11-26,1985,,UNKNOWN,ANDA,ANDA,TEVA,MYCO-TRIACET II,NYSTATIN; TRIAMCINOLONE ACETONIDE,1.0,002,,,
062047,ORIG,1,AP,1979-08-17,1979,,UNKNOWN,,UNKNOWN,,,,,,,,
062049,ORIG,1,AP,1977-12-02,1977,,UNKNOWN,ANDA,ANDA,PFIZER,PFIZERPEN-A,AMPICILLIN/AMPICILLIN TRIHYDRATE,2.0,001; 002,,,
062050,ORIG,1,AP,1977-07-05,1977,,UNKNOWN,ANDA,ANDA,PFIZER,PFIZERPEN-A,AMPICILLIN/AMPICILLIN TRIHYDRATE,2.0,001; 002,,,
062055,ORIG,1,AP,1978-11-27,1978,,UNKNOWN,ANDA,ANDA,ANI PHARMS,ERYTHROMYCIN ETHYLSUCCINATE,ERYTHROMYCIN ETHYLSUCCINATE,3.0,001; 002; 003,,,
062058,ORIG,1,AP,1978-08-03,1978,,UNKNOWN,ANDA,ANDA,CHARTWELL,AMOXICILLIN,AMOXICILLIN,2.0,001; 002,,,
062059,ORIG,1,AP,1978-12-08,1978,,UNKNOWN,ANDA,ANDA,CHARTWELL RX,AMOXICILLIN,AMOXICILLIN,2.0,001; 002,,,
062065,ORIG,1,AP,1994-09-16,1994,,UNKNOWN,ANDA,ANDA,SANDOZ,NYSTATIN,NYSTATIN,1.0,001,,,
062077,ORIG,1,AP,1978-01-31,1978,,UNKNOWN,,UNKNOWN,,,,,,,,
062078,ORIG,1,AP,1978-01-31,1978,,UNKNOWN,,UNKNOWN,,,,,,,,
062085,ORIG,1,AP,1977-09-02,1977,,UNKNOWN,ANDA,ANDA,MAST MM,TETRACYCLINE HYDROCHLORIDE,TETRACYCLINE HYDROCHLORIDE,1.0,001,,,
062087,ORIG,1,AP,1979-06-14,1979,,UNKNOWN,ANDA,ANDA,WATSON LABS,ERYTHROMYCIN ESTOLATE,ERYTHROMYCIN ESTOLATE,1.0,001,,,
062103,ORIG,1,AP,1978-05-08,1978,,UNKNOWN,ANDA,ANDA,WATSON LABS,TETRACYCLINE HYDROCHLORIDE,TETRACYCLINE HYDROCHLORIDE,2.0,001; 002,,,
062117,ORIG,1,AP,1978-03-27,1978,,UNKNOWN,ANDA,ANDA,FACTA FARMA,CEPHALEXIN,CEPHALEXIN,3.0,001; 002; 003,,,
062118,ORIG,1,AP,1978-03-27,1978,,UNKNOWN,ANDA,ANDA,FACTA FARMA,CEPHALEXIN,CEPHALEXIN,2.0,001; 002,,,
